Region,ISO_code,Cname,Vaccine,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
SEAR,LKA,Sri Lanka,Hib3,99,99,99,99,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,SDN,Sudan (the),Hib3,93,94,93,92,93,75,72,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,SUR,Suriname,Hib3,89,85,86,84,86,86,87,84,84,84,83,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,SWZ,Swaziland,Hib3,90,98,98,95,91,89,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,SWE,Sweden,Hib3,98,98,98,98,98,98,98,98,98,98,98,99,99,98,98,98,98,99,99,99,99,99,99,90,55,,,,,,,,,,,
EUR,CHE,Switzerland,Hib3,97,95,95,95,95,95,95,95,93,93,93,91,91,91,91,91,91,77,,,,,,,,,,,,,,,,,,
EMR,SYR,Syrian Arab Republic (the),Hib3,41,43,41,45,72,80,80,79,80,80,80,81,82,83,84,,,,,,,,,,,,,,,,,,,,,
EUR,TJK,Tajikistan,Hib3,96,97,96,94,96,93,93,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAR,THA,Thailand,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,MKD,The former Yugoslav Republic of Macedonia,Hib3,89,94,97,95,96,89,82,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAR,TLS,Timor-Leste,Hib3,76,77,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,TGO,Togo,Hib3,88,87,84,84,85,83,78,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,TON,Tonga,Hib3,82,82,82,77,82,81,81,81,82,82,82,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,TTO,Trinidad and Tobago,Hib3,90,92,92,92,90,90,90,90,88,89,95,94,92,59,85,74,49,8,,,,,,,,,,,,,,,,,,
EMR,TUN,Tunisia,Hib3,98,98,98,97,43,,,,,,80,97,96,,,,,,,,,,,,,,,,,,,,,,,
EUR,TUR,Turkey,Hib3,96,96,98,97,97,97,96,96,76,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,TKM,Turkmenistan,Hib3,99,97,97,97,71,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,TUV,Tuvalu,Hib3,96,89,90,97,96,89,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,UGA,Uganda,Hib3,78,78,78,78,82,80,79,71,73,64,64,62,44,29,,,,,,,,,,,,,,,,,,,,,,
EUR,UKR,Ukraine,Hib3,38,38,83,83,26,51,66,81,46,11,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,ARE,United Arab Emirates (the),Hib3,94,94,94,94,94,94,93,92,92,92,94,94,94,94,92,92,94,,,,,,,,,,,,,,,,,,,
EUR,GBR,United Kingdom of Great Britain and Northern Ireland (the),Hib3,96,95,95,95,95,94,93,92,92,92,91,92,91,91,91,91,92,91,92,95,94,93,89,,,,,,,,,,,,,
AFR,TZA,United Republic of Tanzania,Hib3,98,97,91,92,90,91,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,USA,United States of America (the),Hib3,93,93,93,93,94,90,84,91,93,93,94,94,94,93,93,93,94,93,93,91,91,,,,,,,,,,,,,,,
AMR,URY,Uruguay,Hib3,95,95,94,95,95,95,95,94,94,95,96,94,91,95,90,88,91,75,84,,,,,,,,,,,,,,,,,
EUR,UZB,Uzbekistan,Hib3,99,99,99,99,99,99,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,VUT,Vanuatu,Hib3,64,64,64,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,VEN,Venezuela (Bolivarian Republic of),Hib3,78,78,82,81,78,78,84,51,62,71,87,60,54,59,34,2,,,,,,,,,,,,,,,,,,,,
WPR,VNM,Viet Nam,Hib3,97,95,59,97,95,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,YEM,Yemen,Hib3,69,73,73,67,66,72,71,72,72,70,40,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,ZMB,Zambia,Hib3,90,86,79,78,81,83,94,87,80,81,82,83,,,,,,,,,,,,,,,,,,,,,,,,
AFR,ZWE,Zimbabwe,Hib3,87,91,95,97,94,90,73,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
